date,open,high,low,close,volume,average,barCount
2024-12-17 22:30:00+08:00,2.25,2.35,2.2,2.25,-1.0,-1.0,-1
2024-12-17 22:45:00+08:00,2.25,2.3,2.2,2.25,-1.0,-1.0,-1
2024-12-17 23:00:00+08:00,2.25,2.35,2.25,2.3,-1.0,-1.0,-1
2024-12-17 23:15:00+08:00,2.3,2.45,2.3,2.4,-1.0,-1.0,-1
2024-12-17 23:30:00+08:00,2.4,2.45,2.4,2.4,-1.0,-1.0,-1
2024-12-17 23:45:00+08:00,2.4,2.45,2.4,2.4,-1.0,-1.0,-1
2024-12-18 00:00:00+08:00,2.4,2.45,2.3,2.35,-1.0,-1.0,-1
2024-12-18 00:15:00+08:00,2.35,2.4,2.3,2.35,-1.0,-1.0,-1
2024-12-18 00:30:00+08:00,2.35,2.35,2.25,2.25,-1.0,-1.0,-1
2024-12-18 00:45:00+08:00,2.25,2.3,2.25,2.3,-1.0,-1.0,-1
2024-12-18 01:00:00+08:00,2.3,2.35,2.25,2.3,-1.0,-1.0,-1
2024-12-18 01:15:00+08:00,2.3,2.35,2.25,2.3,-1.0,-1.0,-1
2024-12-18 01:30:00+08:00,2.3,2.3,2.2,2.2,-1.0,-1.0,-1
2024-12-18 01:45:00+08:00,2.2,2.25,2.2,2.25,-1.0,-1.0,-1
2024-12-18 02:00:00+08:00,2.25,2.3,2.25,2.3,-1.0,-1.0,-1
2024-12-18 02:15:00+08:00,2.3,2.35,2.25,2.3,-1.0,-1.0,-1
2024-12-18 02:30:00+08:00,2.3,2.4,2.3,2.35,-1.0,-1.0,-1
2024-12-18 02:45:00+08:00,2.35,2.35,2.3,2.35,-1.0,-1.0,-1
2024-12-18 03:00:00+08:00,2.35,2.35,2.35,2.35,-1.0,-1.0,-1
2024-12-18 03:15:00+08:00,2.35,2.45,2.35,2.45,-1.0,-1.0,-1
2024-12-18 03:30:00+08:00,2.45,2.5,2.45,2.45,-1.0,-1.0,-1
2024-12-18 03:45:00+08:00,2.45,2.5,2.45,2.5,-1.0,-1.0,-1
2024-12-18 04:00:00+08:00,2.5,2.6,2.45,2.6,-1.0,-1.0,-1
2024-12-18 04:15:00+08:00,2.6,2.75,2.6,2.7,-1.0,-1.0,-1
2024-12-18 04:30:00+08:00,2.7,2.75,2.65,2.7,-1.0,-1.0,-1
2024-12-18 04:45:00+08:00,2.7,2.75,2.6,2.7,-1.0,-1.0,-1
2024-12-18 05:00:00+08:00,2.7,2.85,2.65,2.85,-1.0,-1.0,-1
